Dates,CDS Premium,CDS Spread,CDS Premium Change Delta 1
2004-01-02,0.0041,0.0004019999999999996,0.0
2004-01-05,0.00373,0.0003899999999999999,-3.700000000000003
2004-01-06,0.00372,0.0004,-0.09999999999999432
2004-01-07,0.00359,0.00038400000000000033,-1.3000000000000043
2004-01-08,0.00355,0.0003819999999999993,-0.3999999999999986
2004-01-09,0.00372,0.0004,1.7000000000000028
2004-01-12,0.00365,0.00038599999999999995,-0.7000000000000028
2004-01-13,0.00372,0.00038800000000000027,0.7000000000000028
2004-01-14,0.00355,0.0003819999999999993,-1.7000000000000028
2004-01-15,0.00372,0.00038800000000000027,1.7000000000000028
2004-01-16,0.0038,0.0004,0.7999999999999972
2004-01-19,0.00355,0.0003819999999999993,-2.5
2004-01-20,0.0038,0.00039200000000000015,2.5
2004-01-21,0.0038299999999999996,0.00039199999999999945,0.29999999999999716
2004-01-22,0.00392,0.0004,0.9000000000000057
2004-01-23,0.00395,0.0005,0.29999999999999716
2004-01-26,0.004079999999999999,0.0005,1.2999999999999972
2004-01-27,0.004,0.0005,-0.7999999999999972
2004-01-28,0.004079999999999999,0.0004,0.7999999999999972
2004-01-29,0.00403,0.0004,-0.5
2004-01-30,0.00403,0.0004,0.0
2004-02-02,0.00465,0.0005,6.200000000000003
2004-02-03,0.00442,0.0005,-2.299999999999997
2004-02-04,0.00443,0.0005,0.09999999999999432
2004-02-05,0.0048200000000000005,0.0005,3.9000000000000057
2004-02-06,0.00505,0.0005,2.299999999999997
2004-02-09,0.00513,0.0004,0.7999999999999972
2004-02-10,0.00535,0.0005,2.200000000000003
2004-02-11,0.00512,0.0005,-2.299999999999997
2004-02-12,0.00502,0.0005,-1.0
2004-02-13,0.00505,0.0005,0.29999999999999716
2004-02-16,0.00495,0.00043199999999999933,-1.0
2004-02-17,0.00505,0.0004359999999999999,1.0
2004-02-18,0.00488,0.0004,-1.7000000000000028
2004-02-19,0.0048200000000000005,0.0004,-0.5999999999999943
2004-02-20,0.00485,0.0005,0.29999999999999716
2004-02-23,0.00498,0.0005,1.2999999999999972
2004-02-24,0.00518,0.00044199999999999947,2.0
2004-02-25,0.00505,0.0005,-1.2999999999999972
2004-02-26,0.00517,0.0004,1.2000000000000028
2004-02-27,0.00517,0.00043999999999999985,0.0
2004-03-01,0.00515,0.00044000000000000056,-0.20000000000000284
2004-03-02,0.00502,0.0004359999999999999,-1.2999999999999972
2004-03-03,0.00503,0.0004359999999999999,0.09999999999999432
2004-03-04,0.00502,0.0005,-0.09999999999999432
2004-03-05,0.00495,0.0005,-0.7000000000000028
2004-03-08,0.0049299999999999995,0.0005,-0.20000000000000284
2004-03-09,0.0049,0.0004,-0.29999999999999716
2004-03-10,0.00507,0.0005,1.7000000000000028
2004-03-11,0.00533,0.0004,2.5999999999999943
2004-03-12,0.00519,0.0005,-1.3999999999999986
2004-03-15,0.00532,0.0005,1.3000000000000043
2004-03-16,0.00532,0.0005,0.0
2004-03-17,0.00518,0.0004,-1.4000000000000057
2004-03-18,0.00512,0.0005,-0.5999999999999943
2004-03-19,0.00495,0.0005,-1.7000000000000028
2004-03-22,0.0052,0.0006,2.5
2004-03-23,0.00521,0.0004,0.10000000000000142
2004-03-24,0.005379999999999999,0.0004,1.6999999999999957
2004-03-25,0.00533,0.0004,-0.5
2004-03-26,0.00534,0.0005,0.10000000000000142
2004-03-29,0.00532,0.0005,-0.19999999999999574
2004-03-30,0.00513,0.0004,-1.9000000000000057
2004-03-31,0.00485,0.0005,-2.799999999999997
2004-04-01,0.0049,0.0004,0.5
2004-04-02,0.0048,0.0004,-1.0
2004-04-05,0.00487,0.0004,0.7000000000000028
2004-04-06,0.0048200000000000005,0.0005,-0.5
2004-04-07,0.0049299999999999995,0.0004,1.0999999999999943
2004-04-08,0.00475,0.0005,-1.7999999999999972
2004-04-09,0.00475,0.0005,0.0
2004-04-12,0.00471,0.0003,-0.3999999999999986
2004-04-13,0.0048200000000000005,0.0004,1.1000000000000014
2004-04-14,0.00575,0.0003,9.299999999999997
2004-04-15,0.00562,0.0005,-1.2999999999999972
2004-04-16,0.00548,0.0005,-1.4000000000000057
2004-04-19,0.00548,0.0005,0.0
2004-04-20,0.00533,0.0005,-1.5
2004-04-21,0.00555,0.0005,2.200000000000003
2004-04-22,0.00554,0.0005,-0.10000000000000142
2004-04-23,0.00542,0.0005,-1.1999999999999957
2004-04-26,0.005370000000000001,0.0005,-0.5
2004-04-27,0.00525,0.0005,-1.2000000000000028
2004-04-28,0.00512,0.0005,-1.2999999999999972
2004-04-29,0.00518,0.0005,0.5999999999999943
2004-04-30,0.005220000000000001,0.0005,0.4000000000000057
2004-05-03,0.005529999999999999,0.0004,3.0999999999999943
2004-05-04,0.005520000000000001,0.0005,-0.09999999999999432
2004-05-05,0.00572,0.0005,2.0
2004-05-06,0.00562,0.0005,-1.0
2004-05-07,0.00562,0.0005,0.0
2004-05-10,0.0060799999999999995,0.0004,4.599999999999994
2004-05-11,0.00617,0.0004759999999999998,0.9000000000000057
